name,year,age,sex,title,affiliation,location,area,bio,affil_short,title_short,area_short
Jenny Tung,2019-06-15,37,Female,Evolutionary Anthropologist and Geneticist,"Departments of Evolutionary Anthropology and Biology, Duke University","Durham, North Carolina","Genetics and Molecular Biology, Biological Anthropology","
                  

	About Jenny's Work

	Jenny Tung is an evolutionary anthropologist investigating the interplay between social experiences, genomics, and health. Combining field research with cutting-edge techniques for studying many genes at once, Tung is revealing the molecular mechanisms by which social and environmental stressors have long-lasting impacts on health, longevity, and evolutionary fitness.

	Her research with a population of Kenyan baboons living in the wild, about which there is nearly fifty years of longitudinal data, has found that factors such as drought, low social status, and isolation lead to significantly shorter life spans. Importantly, she and collaborators have shown that these experiences can manifest at the genomic and cellular levels, leaving signatures in the way that immune cells function in response to wounds and infections. Her work with captive rhesus monkeys indicates that such effects are causal: monkeys assigned to lower-ranking status express proinflammatory genes at higher levels than higher-ranking monkeys. These effects can also be reversed—monkeys moved to a higher status demonstrated improved immune systems and corresponding changes in gene expression. Tung’s research has important implications for human health. While associations between socially induced stress and negative health outcomes have long been observed in humans, her findings suggest there is a causal link between social and environmental adversity and poor health.

	Tung is currently expanding her research to non-primate, socially cooperative species such as meerkats, where demarcations of social roles for breeding and nonbreeding “helper” members can clarify the effects of competing demands for growth, reproduction, and immune defense. Tung is illuminating the epigenetic consequences of social behaviors and environmental conditions, thereby advancing the emerging discipline of evolutionary medicine and providing new insights for improving human health.

	Biography

	Jenny Tung received a BS (2003) and a PhD (2010) from Duke University. She was a postdoctoral fellow in the Department of Human Genetics at the University of Chicago before returning to Duke University in 2012, where she is currently an associate professor in the Departments of Evolutionary Anthropology and Biology. Her articles have been published in such scientific journals as Science, Nature, eLife, Molecular Biology and Evolution, and PNAS, among others.

              ","Departments of Evolutionary Anthropology and Biology, Duke University",Evolutionary Anthropologist and Geneticist,Genetics and Molecular Biology
Jeraldyne Blunden,1994-06-15,54,Female,None Provided,None Provided,"Dayton, Ohio",Choreography and Dance,"
                  
	About Jeraldyne's Work 

	Jeraldyne Blunden was a choreographer, a dance instructor, and an artistic director.

	In 1968, Blunden established the Dayton Contemporary Dance Company (DCDC), which developed from a small, regional African-American dance company to a nationally recognized one.  In order to preserve a historic record of dance, she created, within the DCDC, a dance archive that includes a repertory of the masterworks of African-American choreographers.  A choreographer herself, she regularly held workshops for young choreographers, giving them the rare opportunity to work with professional dancers.

	Biography

	Blunden was the artistic director of DCDC since 1968, and taught at Ohio State University, Wright State University, the University of Toledo, Wilberforce University, and the Miami University of Ohio.  She received a National Endowment for the Arts Individual Artist Fellowship in 1980, and in 1977 was honored as one of the Top Ten Women of Dayton and the first female recipient of the Kuzaliwa Award for contributions to the black community.

	Blunden attended the Connecticut College for Women (1959), Central Connecticut State University (1960), the Clark Center for the Performing Arts (1968-74), and the Alvin Ailey American Dance Center (1971-75).  She first studied ballet and modern dance with Josephine and Hermene Schwarz and later trained with Martha Graham, Jose Limon, and James Truitte.

	Last updated January 1, 2005

              ",None Provided,None Provided,Choreography and Dance
Jeremy Denk,2013-06-15,43,Male,None Provided,None Provided,"New York, New York","Music Performance and Composition, Fiction and Nonfiction Writing","
                  
	About Jeremy's Work

	Jeremy Denk is a concert pianist enlivening the musical experience for amateurs and aficionados alike through his eloquence with notes and words. As a soloist and in concerti and chamber ensembles, Denk masterfully performs some of the most technically demanding works of iconic masters—Bach, Beethoven, Chopin—as well as compositions of storied twentieth-century artists—Ives and Ligeti—with virtuosic dexterity and imagination. Noted for his unexpected pairings of pieces in recital programs and recordings, he often draws out surprising themes and continuities between historically and stylistically disparate works. His live and recorded duets with violinist Joshua Bell, a longstanding tradition, are critically acclaimed and lauded for their extraordinary balance and original interpretation.

	As a complement to his performance career, Denk is a gifted expositor. In the liner notes on his recordings, his blog, Think Denk—a spirited “life log” of technical analysis, informative repartee, and witty memoir—and articles in publications such as the New Yorker and the New Republic, he couples analytical thinking about the sound and structure of a piece with lyrical descriptions of the affect produced as one plays or listens to it.

	Denk’s writings not only offer poignant and humorous meditations on such subjects as the complex relationship between protégé and mentor, they also demonstrate the connection between the process of writing and the practicing musician’s ceaseless efforts to find the most vivid and meaningful way to bring a particular phrase to life. An extraordinary pianist and essayist of keen musical intellect, Denk is engaging listeners and readers in a deeper appreciation of classical music.

	Biography

	Jeremy Denk received a B.A. (1990) from Oberlin College, an M.Mus. (1993) from Indiana University, and a D.Mus. (2001) from the Juilliard School. As a soloist, he has performed with the Los Angeles Philharmonic, the Orchestra of St. Luke’s, and the Boston Symphony Orchestra, among many others, and his recordings include Ligeti/Beethoven (2011) and J. S. Bach: Goldberg Variations (2013). He is currently on the faculty of the Bard College Conservatory of Music and Mannes College, The New School for Music.

              ",None Provided,None Provided,Music Performance and Composition
Jerry Mitchell,2009-06-15,50,Male,Investigative Reporter,Clarion-Ledger,"Jackson, Mississippi",Communications and Journalism,"
                  
	About Jerry's Work

	Jerry Mitchell is an investigative reporter with the Jackson, Mississippi, Clarion-Ledger whose courageous efforts have ensured that unpunished murders from the Civil Rights era are finally prosecuted. In 1989, Mitchell began his immersion in decades-old stories of thwarted justice and undertook a meticulous review of the 1963 assassination of NAACP leader Medgar Evers. Ku Klux Klan member Byron de la Beckwith had been tried twice for this crime in 1964, and each trial ended in hung juries. By analyzing hundreds of documents and interviewing scores of witnesses, Mitchell laid the groundwork for a new trial. The case was reopened and culminated in the conviction and life sentence of Beckwith in 1994. Mitchell has since uncovered largely unknown details about many other long-dormant murder cases. His reporting has played a key role in the convictions of Klan Imperial Wizard Sam Bowers for ordering the fatal firebombing of NAACP leader Vernon Dahmer in 1966, of Bobby Cherry for the 1963 bombing of a Birmingham church that killed four girls, and of Edgar Ray Killen for helping to orchestrate the 1964 deaths of three civil rights workers in Neshoba County, Mississippi. His investment of time and painstakingly detailed research has also produced a broad range of reports on such subjects as racial reconciliation in the South and judicial bribes and chicanery in Mississippi, as well as a series on his own family’s battle against a rare genetic ailment. In an era when long-term investigative reporting is more the exception than the rule, Mitchell’s life and work serve as an example of how a journalist willing to take risks and unsettle waters can make a difference in the pursuit of justice.

	Biography

	Jerry Mitchell received a B.A. (1982) from Harding University and an M.A. (1997) from Ohio State University. He joined the Jackson, Mississippi, Clarion-Ledger in 1986 as a bureau reporter, before turning to investigative reporting in 1989.

	Recent News

	Jerry Mitchell continues to serve as investigator reporter at the Jackson, Mississippi, Clarion-Ledger. Eight days after his 2014 story showed problems with the conviction of Michelle Byrom, the Mississippi Supreme Court ordered her off death row. His 2014 stories also revealed deep corruption inside the Mississippi corrections system, including guards opening locks to let gangs carry out killings and prisons receiving perfect scores, despite horrid conditions, from an organization headed by Mississippi corrections commissioner Chris Epps (Epps now faces corruption charges). In 2015, the nation’s oldest prosecution of a serial killer suspect will take place due to Mitchell’s articles. Mitchell is currently completing a memoir, “Race Against Time,” on his investigations into civil rights cold cases.

	Updated July 2015

              ",Clarion-Ledger,Investigative Reporter,Communications and Journalism
Jerry X. Mitrovica,2019-06-15,58,Male,Theoretical Geophysicist,"Department of Earth and Planetary Sciences, Harvard University","Cambridge, Massachusetts","Physics, Earth Sciences, Oceanography, Atmospheric Sciences, and Meteorology","
                  

	About Jerry's Work

	Jerry X. Mitrovica is a geophysicist elucidating the dynamics of Earth’s crust and mantle in response to glacial melting and the resulting implications for sea level rise. Using an interdisciplinary approach that integrates statistical techniques, land- and satellite-based measurements of sea level, and geological records from previous warming periods, he develops quantitative models to predict the geometry of sea level changes in both our warming world and the geological past.

	In early work, Mitrovica upended understanding of the long-term dynamics of Earth’s surface by proposing that tectonic plates not only move laterally but can also move up and down as rocks in Earth’s mantle rise and sink, providing an explanation for enigmatic episodes of continental flooding noted by geologists. Mitrovica has also developed state-of-the-art models for predicting changes in sea level in response to glacial melting. These models take into account vertical movement of the Earth’s crust—that is, land rises in the vicinity of ice melt due to the lightened load and falls in the periphery—as well as subtle changes in the Earth’s gravity field and rotation that impact sea level. Taking all of these factors into account, Mitrovica has built on classic work to establish that sea levels do not rise uniformly (as water rises in a bathtub) when ice sheets melt; rather, the effects are much more geographically variable. He has created models that can assign the contributions that individual regions of glacial melting have on localized sea level change, essentially identifying unique sea level “fingerprints” for ice sheets and glaciers. Sea levels actually fall near the location of melting ice sheets (as the land rises and the gravitational pull of the ice sheets diminishes) but rise higher elsewhere, often in populous coastal areas. For example, Mitrovica determined that ice melting in particular regions of Antarctica causes higher than average sea level rise along the eastern seaboard of the United States and northern Europe, while melting in Greenland will impact these regions less than the global average.

	Understanding the rate of ice melt and glacial collapse as climate changes is critical to forecasts of sea level rise. To deepen our understanding of the fate of ice sheets in a warming world, he and collaborators are also examining the geophysical, geological, and geodetic (Earth’s shape and gravitational field) signatures of ice sheet and sea level changes over vast time periods, providing key constraints on ice volumes and stability during previous warm periods in Earth history. Mitrovica is reshaping our understanding of the complex relationship between sea level and melting ice sheets and the variable impact that climate change will have on specific communities.

	Biography

	Jerry X. Mitrovica received a BASc (1983), MSc (1985), and PhD (1991) from the University of Toronto. He was a postdoctoral fellow in the Radio and Geoastronomy Division of the Harvard-Smithsonian Center for Astrophysics before returning to the University of Toronto in 1993 to join the faculty of the Department of Physics. In 2009, Mitrovica moved to the Department of Earth and Planetary Sciences at Harvard University, where he now serves as the Frank B. Baird Jr. Professor of Science. Mitrovica’s publications have appeared in Science, Nature, the Journal of Climate, and Earth and Planetary Science Letters, among many others.

              ",Harvard University,Theoretical Geophysicist,Physics
Jerzy Grotowski,1991-06-15,58,Male,None Provided,None Provided,"Pontedera, Italy",Theatrical Arts,"
                  
	About Jerzy's Work

	Jerzy Grotowski was a director, a drama theorist, and a teacher of performing arts, whose work has profoundly influenced ways of perceiving theater and acting.

	Grotowski, who emigrated from Poland in 1982 and became a permanent resident of the United States, has directed and taught in Poland, Western Europe, and America.  His creation of the Laboratory Theater (1959-82) and such productions as The Constant Prince (1965) stimulated a reevaluation of classical texts in theater, and of established notions of the art of acting.  He examined, in practice, the connection between performing and ritual.  He is the author of Towards a Poor Theater (1968), Le Jour Saint (1974), Tecniche originarie dell’attore (1983), and Teksty and Performer (1990).

	Biography

	Grotowski served as the director of the Workcenter of Jerzy Grotowski International in Pontedera, Italy.  He received the Drama Desk Award (1970), the Commandeur dans l’Ordre des Arts et des Lettres (1989) from the French government, and was an Honorary Foreign Member of the American Academy of Arts and Sciences.

	Grotowski received Master degrees in acting (1955) and stage directing (1960) from the National Theatrical Academy in Krakow, Poland.  

	Last updated January 1, 2005

              ",None Provided,None Provided,Theatrical Arts
Jesmyn Ward,2017-06-15,40,Female,Fiction Writer,"Department of English, Tulane University","New Orleans, Louisiana",Fiction and Nonfiction Writing,"
                  
	About Jesmyn's Work

	Jesmyn Ward is a fiction writer exploring the bonds of community and familial love among poor African Americans in the rural South. She is the author of three novels and a memoir, all set in the Gulf Coast region of her native Mississippi and centered on marginalized black communities. In prose that is simultaneously luminous and achingly honest, Ward captures moments of beauty, tenderness, and resilience against a bleak landscape of crushing poverty, racism, addiction, and incarceration.

	The novel Salvage the Bones (2011) follows the four siblings of the Batiste family as they protect and nurture each other in the days leading up to and just after Hurricane Katrina. Ward transcends the brutal reality of their experiences—pit bull fights, a missed opportunity to attend college, a pregnancy at fifteen—through the narration of Esch, who imagines herself as a triumphant Medea, a strong, beautiful, and legendary leader. Sing, Unburied, Sing (2017), Ward's most recent novel, is wider in its scope, moving back and forth in time and including the voices of ghosts and the people they haunt. Ward does not shy away from uncomfortable truths or how her characters' own flawed choices contribute to their situations. Leonie and Michael's drug addiction and selfish love for one another force their young son, JoJo, to assume the role of parent to his toddler sister. When the family journeys upstate to pick up Michael from Parchman Prison, JoJo encounters the ghost of Richie, a young boy who died at the prison in the 1940s, revealing the long legacy of Parchman both in JoJo's family and as a tool for oppressing black communities in Mississippi.

	In her novels and nonfiction accounts of her own experiences with loss and injustice, Ward is offering a raw and powerful portrayal of the circumscribed possibilities and lost potential faced by many African Americans after generations of racial and economic inequality.

	Biography

	Jesmyn Ward received a B.A. (1999) and M.A. (2000) from Stanford University and an M.F.A. (2005) from the University of Michigan. Currently an associate professor in the Department of English at Tulane University, Ward was a Stegner Fellow at Stanford University from 2008 to 2010, the Grisham-Writer-in-Residence at the University of Mississippi from 2010 to 2011, and an assistant professor of creative writing at the University of South Alabama from 2011 to 2014. Her additional publications include the novel Where the Line Bleeds (2008), a memoir, Men We Reaped (2013), and The Fire This Time (co-editor, 2016).

              ",Tulane University,Fiction Writer,Fiction and Nonfiction Writing
Jessie Little Doe Baird,2010-06-15,46,Female,Indigenous Language Preservationist,Wôpanâak Language Reclamation Project,"Mashpee, Massachusetts",Culture and Society,"
                  
	About  Jessie's Work

	Jessie Little Doe Baird is a linguist who is reviving a long-silent language and restoring to her Native American community a vital sense of its cultural heritage. Wampanoag (or Wôpanâak), the Algonquian language of her ancestors, was spoken by tens of thousands of people in southeastern New England when seventeenth-century Puritan missionaries learned the language, rendered it phonetically in the Roman alphabet, and used it to translate the King James Bible and other religious texts for the purposes of conversion and literacy promotion. As a result of the subsequent fragmentation of Wampanoag communities in a land dominated by English speakers, Wampanoag ceased to be spoken by the middle of the nineteenth century and was preserved only in written records. Determined to breathe life back into the language, Baird founded the Wôpanâak Language Reclamation Project, an intertribal effort that aims to return fluency to the Wampanoag Nation. She undertook graduate training in linguistics and language pedagogy at the Massachusetts Institute of Technology, where she worked with the late Kenneth Hale, a scholar of indigenous languages, to decipher grammatical patterns and compile vocabulary lists from archival Wampanoag documents. By turning to related Algonquian languages for guidance with pronunciation and grammar, this collaboration produced a 10,000-word Wampanoag-English dictionary, which Baird continues to develop into an essential resource for students, historians, and linguists alike. In addition to achieving fluency herself, she has adapted her scholarly work into accessible teaching materials for adults and children and leads a range of educational programs—after-school classes for youth, beginning and advanced courses for adults, and summer immersion camps for all ages—with the goal of establishing a broad base of Wampanoag speakers. Through painstaking research, dedicated teaching, and contributions to other groups struggling with language preservation, Baird is reclaiming the rich linguistic traditions of indigenous peoples and preserving precious links to our nation’s complex past.

	Biography

	Jessie Little Doe Baird received an M.Sc. (2000) from the Massachusetts Institute of Technology. She has served as the co-founder and director of the Wôpanâak Language Reclamation Project in Mashpee, Massachusetts, since 1993.

              ",Wôpanâak Language Reclamation Project,Indigenous Language Preservationist,Culture and Society
Jill Seaman,2009-06-15,57,Female,None Provided,None Provided,"Old Fangak, Sudan",Health Care Delivery,"
                  
	About Jill's Work

	Jill Seaman is a physician committed to delivering and improving treatment for infectious diseases endemic to Southern Sudan, one of the most remote, impoverished, and war-torn regions of the world. She first began treating the Nuer tribespeople of Sudan’s Western Upper Nile province in 1989, as an epidemic of visceral leishmaniasis — a deadly, parasite-borne infection — devastated the already conflict-ravaged and malnourished population. In the midst of a civil war, she worked with Médecins Sans Frontières (Doctors Without Borders) to set up makeshift clinics and offer the only treatment option for an area with no health care infrastructure, electricity, or running water. After Doctors Without Borders left Sudan in the late 1990s, Seaman established her own medical organization to continue her work in Sudan during its dry season. (She spends the remaining portion of each year in Bethel, Alaska, providing health services to Yup’ik Eskimo communities.) In response to the challenge of caring for semi-nomadic and illiterate patients suffering from life-threatening diseases, Seaman has devised field-appropriate protocols for administering complex and lengthy regimens of daily injections. She has conducted rigorous investigations on the epidemiology, diagnosis, and treatment of epidemic leishmaniasis with the goal of developing faster diagnostic methods and identifying affordable drug combinations to reduce the duration of therapy. Though the leishmaniasis crisis has subsided in recent years, Seaman continues to apply her wealth of field expertise to the rapid spread of tuberculosis, malaria, and hepatitis B throughout East Africa and to train local staff, thus extending the reach of her practice. By adapting the tools of 21st-century medicine to address the needs of those in abject poverty, Seaman serves as a pioneering authority on how to provide life-saving medical care in all but impossible conditions.

	Biography

	Jill Seaman received a B.A. (1974) from Middlebury College, an M.D. (1979) from the University of Washington School of Medicine, and a D.T.M.H. (1989) from the London School of Hygiene and Tropical Medicine. She completed her residence in family practice at Natividad Medical Center in Salinas, California. Seaman has been delivering health care in Southern Sudan since 1989. She currently spends half of each year treating patients from her clinic in the village of Old Fangak, Sudan, and the other half practicing medicine in Bethel, Alaska, where she is affiliated with the Yukon-Kuskokwim Health Corporation.

              ",None Provided,None Provided,Health Care Delivery
Jillian Banfield,1999-06-15,40,Female,None Provided,None Provided,"Madison, Wisconsin",Earth Sciences,"
                  
	About Jillian's Work

	Jillian Banfield is a mineralogist who has contributed fundamental insights into the physical and chemical forces that shape the earth's surface.

	Her structural studies reveal the mechanisms of rock weathering, helping to explain how elements such as toxic heavy metals can accumulate within soil. She has shown that certain microbes living between rocks exert profound chemical effects on those rocks, both at the surface and deep below. These observations may lead to an enhanced understanding of soil and sediment formation, factors affecting water quality, and environmental processes as well as provide clues to the origins of life on earth. Her analyses of the interactions of rocks and microorganisms illuminate the impact of biology on the kinetics of mineral weathering; they also constitute a key step in understanding the ecology of these recently identified organisms.

	Biography

	Banfield is a professor in the Department of Environmental Science, Policy and Management at the University of California, Berkeley. Previously, she was an associate professor of geology and geophysics at the University of Wisconsin, Madison, and was a professor at the Mineralogical Institute at the University of Tokyo.

	Banfield received a B.Sc. (1981) and a M.Sc. (1985) from the Australian National University, Canberra City, A.C.T., and an M.A. and Ph.D. (1990) from The Johns Hopkins University.

	Last updated January 1, 2005

              ",None Provided,None Provided,Earth Sciences
Jim Powell,1993-06-15,42,Male,None Provided,None Provided,"Berkeley, California","Poetry, Translation, Literary History and Criticism","
                  
	About Jim's Work

	Jim Powell is a poet, a translator, and a literary critic.

	Powell’s poetry, informed by his knowledge of Greek and Latin as well as by twentieth-century poetry, combines a colorful vision of California life with a classical restraint and sense of decorum.  Without sacrificing content, he has successfully experimented with poetic structures and rhythms.  In his translations from the Greek, his sensitive grasp of the ancient poems results in English lines that are idiomatic without losing the formality of the original texts.  As a critic, Powell analyzes complex texts with insight and clarity.  He is the author of a volume of original poetry, It Was Fever That Made the World (1989), and two volumes of translation, Sappho, A Garland: The poems and Fragments of Sappho (1993) and Catullan Revenants (2001).

	Biography

	Powell was an instructor at the University of California, Berkeley (1981-87), and an assistant professor of English and poet-in-residence at Reed College (1988-90).  His poems have appeared in numerous publications, including Slate, the Threepenny Review, and Poetry.

	Powell received a B.A. (1979) and an M.A. (1981) from the University of California, Berkeley.

	Last updated January 1, 2005

              ",None Provided,None Provided,Poetry
Jim Yong Kim,2003-06-15,43,Male,Public Health Physician,World Health Organization,"Geneva, Switzerland",Public Health and Biomedical/Health Sciences,"
                  
	About Jim Yong's Work

	Jim Yong Kim is a public health physician specializing in the control and eradication of infectious diseases. As Chief of the Division of Social Medicine and Health Inequalities and Director of the Program in Infectious Disease and Social Change at the Harvard Medical School, Kim formulated new models for containing multi-drug-resistant tuberculosis, a disease that was once considered by major health organizations to be untreatable in some settings around the world. Kim’s significant contribution has been to envision and apply effective interventions at both local and global levels. His protocol for community supervision of directly observed treatment of multi-drug-resistant tuberculosis in Russian prisons and in Peruvian ghettos has resulted in dramatic increases in successful outcomes. Kim’s innovations extend beyond treatment design to include international policy prescription and economical procurement of the drugs. His vision has inspired local communities, world health organizations, political leaders, and pharmaceutical companies to collaborate productively. At the World Health Organization in Geneva, Kim is currently mapping new and effective strategies for international health leadership in tuberculosis, AIDS, and other infectious diseases.

	Biography

	Jim Yong Kim received a B.A. (1982) from Brown University, an M.D. (1991) from Harvard Medical School and a Ph.D. (1993) in anthropology from Harvard University. An associate professor of medicine, Kim was named co-director of Harvard’s Program in Infectious Disease and Social Change in 1996. He is the founding member of the World Health Organization’s Working Group on DOTS-Plus for multi-drug-resistant tuberculosis (1999). Recently, Kim was named chief of the newly created Division of Social Medicine and Health Inequalities at Harvard Medical School. Currently on leave from Harvard, Kim is now advisor to the Director General at the World Health Organization.

              ",World Health Organization,Public Health Physician,Public Health and Biomedical/Health Sciences
Jin-Quan Yu,2016-06-15,50,Male,Synthetic Chemist,Scripps Research Institute,"La Jolla, California",Chemistry,"
                  
	About Jin-Quan's Work

	Jin-Quan Yu is a synthetic chemist pioneering new techniques for the functionalization of carbon-hydrogen (C–H) bonds. In order to create many of the chemical compounds used in pharmaceuticals, agrochemicals, and materials science, inert C–H bonds in organic molecules must be broken so that a more complex cluster of atoms (the functional group) can be chemically attached—a process known as C–H functionalization. Activation of C–H bonds requires the use of metal-based catalysts that are guided to the targeted bond by other nearby directing functional groups (or ligands), which often must be removed to yield the desired product once the new functional group is attached.

	Yu has made several significant advances in the efficiency, specificity, and practicality of palladium-catalyzed C–H functionalization. He and collaborators have expanded the possibilities for tailored C–H activation by extending the distance between the C–H bond and the directing functional group much further than previously possible. They have also developed modified amino acids that can act as “transient directing groups” for a variety of ketone and aldehyde substrates. The amino acids automatically attach and remove themselves from the compounds to be modified and can be continually re-used, thereby streamlining a time-consuming process of pre-installation of directing groups and reducing the amount of reagents used. The amino acids can be selected to direct the chirality of the resulting products, a critical step in the production of effective pharmaceuticals. Most C–H functionalizations generate mirror image products at the site of the activated bond, but often only one of these (the right- or left-hand chiral form) has a drug’s desired properties.

	Most recently, Yu invented a new method for activation of methylene groups, which are the most common class of C–H bonds. Using palladium catalysts bearing amino acid– or quinoline (from coal tar)- derived chiral ligands, he has both drastically accelerated this process and enabled the creation of products with specific chirality. Yu’s unconventional approach to C–H functionalization is creating a paradigm shift in the logic of organic synthetic chemistry and breaking down barriers to the development of versatile compounds with enormous benefits to academic, industrial, and pharmaceutical research.

	Biography

	Jin-Quan Yu received a B.Sc. (1987) from East China Normal University, an M.Sc. (1990) from Guangzhou Institute of Chemistry, and a Ph.D. (1999) from the University of Cambridge. He was a research fellow (1998–2002) and junior faculty member (2003–2004) at the University of Cambridge, postdoctoral fellow (2001–2002) at Harvard University, and assistant professor of chemistry (2004–2007) at Brandeis University prior to his current affiliation with Scripps Research Institute, where he is the Frank and Bertha Hupp Professor of Chemistry. His scientific articles have been published in Nature, Science, Journal of the American Chemical Society, Angewandte Chemie International Edition, and Nature Chemistry.

              ",Scripps Research Institute,Synthetic Chemist,Chemistry
Joan Abrahamson,1985-06-15,34,Female,None Provided,None Provided,"Los Angeles, California",Civil Society and Community Organizing,"
                  
	About Joan's Work

	Joan Abrahamson is a lawyer, an artist, and a catalyst for community action.

	Abrahamson is founder and president of the Jefferson Institute, a public policy institute that seeks to implement solutions to social concerns in the areas of the future of cities, international security, international economics, health, and creativity. She has also chaired the Barbara Bush Foundation for Family Literacy.

	Biography

	Abrahamson was responsible for converting an abandoned army base in San Francisco to the Fort Mason Center, a community arts and learning center. She served as a White House Fellow and as special assistant and associate counsel for Vice Presidents Walter Mondale and George H. W. Bush, and then as the latter’s assistant chief of staff. Prior to this, she worked at the United Nations’ Human Rights Commission and at UNESCO’s Division of Human Rights and Peace. Since 1995, she has served as president of the Jonas Salk Foundation.

	Abrahamson received a B.A. (1972) from Yale University, M.A. (1973) from Stanford University, Ph.D. (1977) from Harvard University, and J.D. (1980) from the University of California, Berkeley. 

	Last updated January 1, 2005.

              ",None Provided,None Provided,Civil Society and Community Organizing
Joan Breton Connelly,1996-06-15,42,Female,None Provided,None Provided,"New York, New York",Archaeology,"
                  
	About Joan's Work 

	Joan Breton Connelly is an art historian and an archaeologist who has advanced a new interpretation of the Parthenon Frieze based on her study of Athenian myth, cult, and drama.

	She has spent over two decades the field, pursuing her interests in the Hellenistic East and excavating at sites throughout Greece, Cyprus, and Kuwait.  Since 1990, she has served as Director at the Yeronisos Island Expedition and Field School off the coast of western Cyprus, which integrates ecological and archaeological fieldwork toward the common goal of preserving natural and cultural resources.  Her excavations of artifacts and unique architectural remains suggest that Yeronisos preserves one of the most significant Ptolemaic sites outside of Egypt.

	Biography

	She is the author of Votive Sculpture of Hellenistic Cyprus (1988), and several influential articles, including “Parthenon and Parthenoi: A Mythological Interpretation of the Parthenon Freize”(American Journal of Archaeology, 1996).  Connelly is an associate professor of fine arts at New York University.  She was a visiting fellow at All Souls College, University of Oxford, and is a fellow of the Society of Antiquaries, the Royal Geographical Society, the Explorers Club, and the Society of Women Geographers.

	Connelly received an A.B. (1976) from Princeton University, and an M.A. (1979) and a Ph.D. (1984) from Bryn Mawr College.

	Last updated January 1, 2005

              ",None Provided,None Provided,Archaeology
Joan Snyder,2007-06-15,67,Female,None Provided,None Provided,"Brooklyn, New York",2-D Visual Art,"
                  
	About Joan's Work

	Joan Snyder is an accomplished artist whose abstract paintings defy categorization and traverse genres. Over the four decades of her prolific career, Snyder’s body of work has continually evolved in style and form. Beginning with her early “stroke” paintings — intense swaths of color painted over pencil-drawn grids — her works have been essentially narratives of both personal and communal experiences. In these paintings, each brush stroke is like a character in a story, pulsing with emotion and vitality. After abandoning formal grids as the basic structure of her paintings, Snyder’s work became more explicitly gestural and rooted in memory, while at the same time more complex materially. She began to incorporate text scrawled into the paint or frames, as well as found objects such as herbs, sticks, feathers, mud, and nails, to create works saturated with feeling. In The Cherry Tree (1993), for instance, a work expressing Snyder’s grief surrounding her father’s death, she uses paint, papier-mâché, and straw to render an image that is both elegiac and thriving. While her paintings mirror her personal experience, the visual messages she provides through her images convey universal and readily understood emotions. Through a fiercely individual approach and persistent experimentation with technique and materials, Snyder has extended the expressive potential of abstract painting and inspired a generation of emerging artists.

	Biography

	Joan Snyder received an A.B. (1962) from Douglass College and an M.F.A. (1966) from Rutgers University. Her work has appeared in numerous solo and group exhibitions at such national venues as the Museum of Modern Art in New York, the Whitney Museum of American Art, the Museum of Fine Arts, Boston, and the Corcoran Gallery of Art. In 2005, the Jewish Museum in New York presented a retrospective of Snyder’s work.

              ",None Provided,None Provided,2-D Visual Art
Joanna Scott,1992-06-15,32,Female,None Provided,None Provided,"New Orleans, Louisiana",Fiction and Nonfiction Writing,"
                  
	About Joanna's Work

	Joanna Scott is the author of seven novels and a collection of short stories.

	In highly textured and analytical prose, Scott’s insights touch on the origins of modern sensibility.  Her first novel, Fading, My Parmacheene Belle (1987), portrays an aged man coming to terms with the death of his wife after more than fifty years of marriage.  In Arrogance (1990), she takes as her subject the life of the Austrian expressionist painter, Egon Schiele, capturing Schiele’s character and probing the sources of his creativity.  A later work, The Manikin (1996), is set on a remote estate in western New York State in the 1920s, and considers the consequences of chosen and imposed isolation.  Her collection of short fiction, Various Antidotes (1994), draws from the history of medical research.  She is also the author of The Closest Possible Union (1988), Make Believe (2000), Tourmaline (2002), and Liberation (2005).  Her fiction and essays have appeared in numerous publications, including The Paris Review, Harper’s, Esquire, Conjunctions, and The Southern Review.

	Biography

	Scott is the Roswell S. Burrows Professor in the Department of English at the University of Rochester.

	Scott received a B.A. (1983) from Trinity College in Hartford, Connecticut and an M.A. (1985) from Brown University.

	Last updated January 1, 2006

              ",None Provided,None Provided,Fiction and Nonfiction Writing
Joaquin Avila,1996-06-15,48,Male,None Provided,None Provided,"Fremont, California",Civil Rights and Civil Liberties,"
                  
	About Joaquin's Work 

	Joaquin Avila is a litigator and an advocate in the specialized field of voting rights law.

	Avila has devoted his career to a vision of voting rights advocacy that is premised on the conviction that government functions best if it is reflective and representative of the range of its constituents.  The Voting Rights Act of 1965 codified and articulated legal strictures that prevent government officials and private citizens from interfering with the rights of minority citizens to vote and to choose their representatives.  Through meticulously crafted legal suits, Avila challenges election systems that function to disenfranchise and discriminate against minority voters and their chosen candidates.

	Biography

	Avila is a visiting assistant professor of law at the Seattle University School of Law.  He has also worked in a private practice devoted exclusively to the protection of the voting rights of racial and ethnic minority communities.  He served as staff attorney (1974-1976), director of political access litigation and associate counsel (1976-78), and president and general counsel (1982-1985) of the Mexican American Legal Defense and Educational Fund (MALDEF).

	Avila received a B.A. (1970) from Yale University and a J.D. (1973) from the Harvard University Law School.  He is a member of the California and Texas State bars.

	Last updated January 1, 2005

              ",None Provided,None Provided,Civil Rights and Civil Liberties
